rds_uri,occurrence_count,is_boundary_forming,component_class,suggested_plm_uri,suggested_plm_label,similarity,confirmed_plm_uri
http://sandbox.dexpi.org/rdl/SafetyValveOrFitting,37,True,SafetyValveOrFitting,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100004098,Pipe Fitting,0.52,
http://data.posccaesar.org/rdl/RDS472679,23,True,PipeFlangeSpacer,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100004099,Pipe Flange,0.77,
http://data.posccaesar.org/rdl/RDS5782388,10,True,SteamTrap,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100001009,Separator,0.56,
http://sandbox.dexpi.org/rdl/PropertyBreak,276,False,PropertyBreak,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100006070,Property Break (DEXPI symbol),0.7,
http://sandbox.dexpi.org/rdl/ProcessInstrumentationFunction,191,False,ProcessInstrumentationFunction,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100005947,Instrumentation And Control Equipment,0.59,
http://sandbox.dexpi.org/rdl/CustomPipingComponent,170,False,CustomPipingComponent,http://w3id.org/readi/rdl/CFIHOS-30000419,coupling (CFIHOS RDL concept),0.53,
http://sandbox.dexpi.org/rdl/FlangedConnection,69,False,Flange,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100004099,Pipe Flange,0.75,
http://data.posccaesar.org/rdl/RDS13307654,67,False,CustomPipeFitting,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100004098,Pipe Fitting,0.79,
http://data.posccaesar.org/rdl/RDS1049335351,58,False,VentilationDevice,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100004088,Lifting Device,0.6,
http://sandbox.dexpi.org/rdl/FlowOutPipeOffPageConnector,36,False,FlowOutPipeOffPageConnector,http://data.posccaesar.org/rdl/RDS418589,PIPE FLANGE (PCA RDL concept),0.52,
http://sandbox.dexpi.org/rdl/FlowInPipeOffPageConnector,32,False,FlowInPipeOffPageConnector,http://data.posccaesar.org/rdl/RDS418589,PIPE FLANGE (PCA RDL concept),0.53,
http://sandbox.dexpi.org/rdl/FlowInSignalOffPageConnector,5,False,FlowInSignalOffPageConnector,https://cdd.iec.ch/cdd/iec61360/iec61360.nsf/classes/0112-2---61360_4%23AAA037,signal cable (CDD concept),0.53,
http://sandbox.dexpi.org/rdl/ActuatingSystem,4,False,ActuatingSystem,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100004058,Actuator,0.52,
http://sandbox.dexpi.org/rdl/PipeFitting,3,False,RestrictionOrifice,http://rds.posccaesar.org/ontology/plm/rdl/PCA_100004068,Distribution Board,0.57,
http://sandbox.dexpi.org/rdl/FlowOutSignalOffPageConnector,2,False,FlowOutSignalOffPageConnector,https://cdd.iec.ch/cdd/iec61360/iec61360.nsf/classes/0112-2---61360_4%23AAA037,signal cable (CDD concept),0.52,
